Stop Initial,Sequence Number
AD,105
AF,47
AG,4
BA,33
BE,109
BG,53
BP,67
BT,49
BY,7
BZ,61
CA,43
CG,26
CK,86
CM,96
CO,54
CP,36
CW,8
DJ,28
DL,15
DN,37
DQ,35
EC,106
EH,101
EO,56
EX,104
EY,69
FF,88
FH,12
FY,76
GB,81
GN,42
GP,2
GS,64
GU,16
GW,74
HB,97
HG,87
HN,40
HO,80
HR,111
HT,3
HW,93
IA,57
IJ,20
IM,68
IP,94
IW,23
JH,10
JM,92
KA,48
KG,55
KJ,41
KM,51
KN,17
KP,22
KU,63
LB,11
LD,46
LG,27
LK,84
LY,83
MA,66
MO,89
MQ,70
MR,25
MW,50
NE,45
NL,29
NM,79
NR,18
NU,65
PB,110
PJ,73
PS,82
PT,14
PX,117
QE,85
QM,5
QO,107
QX,118
RA,71
RG,59
RY,75
SC,19
SD,115
SF,6
SI,95
SQ,99
TC,44
TG,1
TH,24
TK,13
TQ,91
TY,103
UI,52
UJ,38
UN,108
UR,30
US,72
UU,114
UW,39
VA,32
VC,60
VE,0
VW,9
WJ,113
WS,78
XB,21
XD,98
YE,58
YH,34
YJ,102
YN,90
YR,77
YY,116
ZB,112
ZE,31
ZP,100
ZU,62
