Stop Initial,Sequence Number
AC,36
AE,28
AG,104
AN,94
AS,79
BA,44
BF,51
BJ,73
BP,1
BV,74
BY,39
CB,88
CG,47
CH,80
CO,71
DF,60
DG,99
DH,6
DI,66
DQ,12
DR,7
EH,57
EJ,45
ER,41
FL,98
FM,2
GC,105
GI,84
GN,64
GR,17
HC,5
HG,43
HN,100
HR,101
HY,18
HZ,55
IB,20
KC,87
KI,32
KK,63
LD,50
LI,10
MC,9
MV,30
NB,83
NC,58
NM,53
NO,26
NQ,19
NW,13
NZ,90
OB,72
OC,89
OF,102
ON,22
OZ,77
PC,40
PF,69
PG,8
PQ,15
PV,34
QA,46
QC,67
QQ,93
QS,61
QU,48
RC,23
RM,78
RR,95
RZ,52
SA,21
SC,85
SK,14
TA,97
TM,35
TN,29
TX,27
UH,11
UJ,25
UR,96
UW,16
UX,0
VJ,24
VU,56
VX,37
WD,3
WN,103
WP,59
WW,82
WX,33
XD,91
XE,86
XM,70
XT,38
XV,49
XX,31
XZ,62
YB,92
YJ,42
YK,4
YM,75
YX,81
ZF,68
ZL,76
ZS,65
ZV,54
